iter	Passed	Remaining
0	1	176
1	4	197
2	6	196
3	7	180
4	10	190
5	12	190
6	14	192
7	16	188
8	18	183
9	19	176
10	21	172
11	23	170
12	24	166
13	26	161
14	28	159
15	29	155
16	31	152
17	32	148
18	33	144
19	34	139
20	36	135
21	37	133
22	39	131
23	40	129
24	41	125
25	43	124
26	44	121
27	45	118
28	46	114
29	47	111
30	48	108
31	49	106
32	50	103
33	51	100
34	52	98
35	54	96
36	55	94
37	56	92
38	57	90
39	58	87
40	59	85
41	59	82
42	60	80
43	61	78
44	63	77
45	64	75
46	65	73
47	66	71
48	67	69
49	67	67
50	68	66
51	70	64
52	71	63
53	72	61
54	73	59
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	78	50
61	79	48
62	80	47
63	81	46
64	82	44
65	83	43
66	84	41
67	86	40
68	87	39
69	88	37
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	96	27
78	97	26
79	98	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	105	15
87	107	14
88	108	13
89	109	12
90	109	10
91	110	9
92	111	8
93	112	7
94	113	5
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
