iter	Passed	Remaining
0	128	127893
1	130	64974
2	132	43984
3	134	33554
4	137	27283
5	140	23354
6	144	20480
7	146	18155
8	149	16497
9	152	15089
10	156	14047
11	159	13122
12	162	12327
13	167	11824
14	172	11327
15	176	10838
16	179	10378
17	185	10098
18	193	9985
19	196	9652
20	199	9318
21	204	9095
22	207	8801
23	210	8550
24	213	8310
25	215	8078
26	217	7825
27	218	7588
28	220	7379
29	222	7182
30	223	6999
31	225	6811
32	226	6638
33	227	6477
34	229	6322
35	230	6167
36	231	6016
37	232	5876
38	233	5744
39	234	5637
40	236	5528
41	238	5429
42	239	5320
43	240	5216
44	240	5114
45	241	5016
46	242	4924
47	243	4835
48	244	4749
49	245	4665
50	246	4586
51	247	4508
52	248	4440
53	250	4383
54	251	4320
55	252	4254
56	253	4190
57	254	4128
58	255	4074
59	256	4017
60	257	3960
61	258	3905
62	259	3854
63	260	3803
64	261	3754
65	261	3706
66	263	3672
67	265	3633
68	266	3598
69	267	3557
70	268	3516
71	269	3475
72	270	3436
73	271	3398
74	272	3360
75	273	3325
76	274	3290
77	275	3254
78	276	3219
79	277	3185
80	278	3154
81	279	3133
82	280	3099
83	281	3068
84	282	3038
85	283	3009
86	284	2982
87	285	2955
88	285	2927
89	286	2900
90	287	2873
91	288	2847
92	289	2823
93	290	2798
94	291	2774
95	292	2751
96	293	2734
97	295	2715
98	295	2693
99	296	2672
100	297	2651
101	298	2630
102	299	2609
103	300	2590
104	301	2570
105	302	2550
106	303	2531
107	304	2511
108	304	2492
109	305	2475
110	306	2457
111	308	2444
112	309	2433
113	311	2418
114	312	2402
115	313	2386
116	313	2368
117	314	2352
118	315	2336
119	316	2321
120	317	2305
121	318	2289
122	318	2274
123	319	2259
124	320	2245
125	321	2230
126	322	2215
127	323	2206
128	325	2194
129	325	2181
130	326	2167
131	327	2155
132	328	2142
133	329	2129
134	330	2116
135	331	2103
136	332	2091
137	333	2081
138	334	2068
139	334	2057
140	335	2046
141	336	2032
142	337	2020
143	338	2010
144	339	2001
145	340	1991
146	341	1980
147	342	1970
148	343	1960
149	344	1950
150	345	1940
151	346	1930
152	346	1920
153	347	1910
154	348	1900
155	349	1890
156	350	1882
157	351	1874
158	352	1865
159	354	1859
160	354	1849
161	355	1840
162	356	1832
163	357	1824
164	359	1816
165	359	1808
166	360	1799
167	361	1791
168	362	1783
169	363	1775
170	364	1767
171	365	1760
172	366	1752
173	367	1745
174	368	1738
175	370	1735
176	371	1729
177	373	1722
178	374	1715
179	374	1708
180	375	1700
181	376	1693
182	377	1686
183	378	1679
184	379	1673
185	380	1666
186	381	1659
187	382	1652
188	383	1645
189	384	1640
190	385	1634
191	386	1627
192	387	1621
193	388	1614
194	389	1608
195	390	1601
196	391	1594
197	392	1588
198	393	1583
199	394	1576
200	395	1570
201	396	1564
202	397	1559
203	398	1553
204	399	1547
205	400	1543
206	401	1537
207	402	1531
208	402	1525
209	404	1520
210	405	1514
211	406	1509
212	407	1504
213	408	1498
214	409	1493
215	410	1488
216	411	1483
217	412	1478
218	412	1472
219	413	1467
220	415	1463
221	416	1458
222	417	1453
223	418	1448
224	419	1443
225	419	1438
226	420	1432
227	421	1427
228	422	1422
229	423	1418
230	424	1414
231	425	1409
232	427	1405
233	428	1401
234	429	1397
235	430	1394
236	431	1389
237	432	1384
238	433	1380
239	434	1375
240	435	1371
241	436	1366
242	437	1361
243	437	1356
244	438	1351
245	439	1347
246	440	1343
247	441	1339
248	442	1334
249	443	1331
250	445	1328
251	446	1324
252	447	1320
253	448	1315
254	448	1311
255	449	1307
256	450	1303
257	451	1298
258	452	1294
259	453	1290
260	454	1285
261	454	1281
262	455	1277
263	456	1273
264	457	1269
265	458	1266
266	460	1263
267	461	1260
268	462	1256
269	463	1252
270	463	1248
271	464	1244
272	465	1240
273	466	1236
274	467	1232
275	468	1228
276	469	1224
277	470	1221
278	471	1217
279	472	1214
280	473	1211
281	475	1209
282	476	1206
283	476	1202
284	477	1198
285	478	1195
286	479	1192
287	480	1188
288	481	1184
289	482	1181
290	483	1177
291	484	1173
292	485	1170
293	486	1167
294	486	1163
295	487	1160
296	488	1156
297	489	1153
298	491	1151
299	492	1148
300	493	1145
301	494	1142
302	495	1138
303	496	1137
304	497	1134
305	498	1131
306	500	1129
307	501	1127
308	502	1124
309	504	1122
310	505	1120
311	507	1118
312	508	1115
313	509	1112
314	510	1110
315	511	1107
316	512	1105
317	514	1102
318	515	1100
319	516	1097
320	517	1094
321	518	1091
322	520	1090
323	522	1089
324	523	1087
325	524	1084
326	525	1082
327	526	1079
328	527	1076
329	528	1074
330	530	1071
331	531	1068
332	532	1065
333	533	1063
334	534	1061
335	536	1060
336	538	1058
337	538	1055
338	539	1052
339	541	1050
340	542	1047
341	543	1045
342	544	1042
343	545	1039
344	546	1036
345	547	1034
346	548	1031
347	550	1031
348	552	1029
349	553	1027
350	554	1025
351	555	1022
352	556	1019
353	557	1017
354	558	1014
355	559	1011
356	562	1013
357	563	1010
358	565	1009
359	566	1007
360	568	1005
361	569	1002
362	569	1000
363	570	997
364	572	995
365	572	992
366	573	989
367	574	987
368	575	984
369	576	981
370	577	979
371	578	977
372	580	976
373	582	974
374	583	972
375	584	969
376	585	966
377	586	964
378	587	962
379	588	959
380	589	957
381	590	954
382	590	951
383	591	949
384	593	947
385	593	944
386	595	943
387	596	941
388	597	938
389	598	936
390	599	934
391	600	931
392	601	929
393	602	926
394	603	924
395	604	921
396	605	919
397	606	916
398	607	914
399	607	911
400	608	909
401	610	908
402	611	905
403	612	903
404	613	901
405	614	899
406	615	896
407	616	893
408	616	891
409	617	888
410	618	886
411	619	884
412	620	882
413	621	879
414	622	877
415	623	874
416	624	872
417	625	871
418	626	868
419	627	866
420	628	864
421	629	862
422	630	860
423	631	857
424	632	855
425	633	853
426	634	851
427	635	848
428	636	846
429	636	844
430	638	842
431	638	840
432	640	838
433	641	836
434	642	834
435	643	832
436	644	829
437	645	827
438	645	825
439	646	823
440	647	821
441	648	819
442	649	816
443	650	814
444	651	812
445	652	810
446	653	808
447	654	806
448	655	804
449	657	803
450	657	800
451	658	798
452	659	796
453	660	794
454	661	792
455	662	790
456	663	788
457	664	785
458	665	783
459	666	781
460	666	779
461	667	777
462	668	775
463	669	773
464	671	772
465	672	770
466	673	768
467	674	766
468	674	764
469	675	762
470	676	760
471	677	758
472	678	756
473	679	754
474	680	751
475	681	749
476	682	747
477	682	745
478	683	743
479	684	742
480	686	740
481	687	738
482	688	737
483	689	735
484	690	733
485	691	731
486	692	729
487	693	727
488	694	725
489	695	723
490	696	721
491	697	719
492	698	718
493	699	716
494	699	714
495	701	712
496	702	711
497	703	709
498	704	707
499	705	705
500	706	703
501	707	701
502	708	699
503	709	698
504	710	696
505	711	694
506	711	692
507	712	690
508	713	688
509	714	686
510	715	684
511	716	683
512	717	681
513	718	679
514	719	677
515	720	675
516	721	673
517	722	672
518	723	670
519	724	668
520	725	666
521	726	664
522	726	663
523	727	661
524	728	659
525	729	657
526	731	656
527	732	655
528	733	653
529	734	651
530	735	649
531	736	648
532	737	646
533	738	644
534	739	642
535	740	640
536	741	639
537	742	637
538	743	635
539	743	633
540	744	631
541	746	630
542	747	628
543	748	627
544	749	625
545	750	623
546	750	621
547	751	620
548	752	618
549	753	616
550	754	614
551	755	613
552	756	611
553	757	609
554	758	607
555	758	606
556	759	604
557	760	602
558	762	601
559	763	599
560	764	598
561	765	596
562	766	594
563	767	593
564	768	591
565	769	589
566	770	588
567	770	586
568	771	584
569	772	583
570	773	581
571	774	579
572	775	577
573	776	576
574	777	574
575	779	573
576	780	571
577	781	570
578	781	568
579	782	566
580	783	565
581	784	563
582	785	561
583	786	560
584	787	558
585	788	556
586	788	555
587	789	553
588	790	551
589	792	550
590	793	549
591	794	547
592	795	546
593	796	544
594	797	542
595	798	541
596	799	539
597	800	537
598	800	536
599	801	534
600	802	532
601	803	531
602	804	529
603	805	528
604	806	526
605	807	525
606	808	523
607	809	521
608	810	520
609	811	518
610	812	517
611	813	515
612	814	514
613	815	512
614	815	510
615	816	509
616	817	507
617	818	506
618	819	504
619	820	502
620	821	501
621	822	499
622	823	498
623	824	496
624	825	495
625	826	493
626	827	492
627	828	490
628	829	489
629	830	487
630	830	485
631	831	484
632	832	482
633	833	481
634	834	479
635	835	478
636	836	476
637	837	475
638	838	473
639	839	472
640	840	470
641	841	469
642	842	467
643	843	466
644	844	464
645	844	463
646	845	461
647	846	459
648	847	458
649	848	456
650	850	455
651	851	454
652	852	452
653	853	451
654	854	449
655	855	448
